Destino,NumeroFactura,FechaFactura,Vencimiento,total,Saldo,ReferenciaBancaria,dias_credito,dias_vencido
Destino-217 DISTRIBUIDORA,A-688511,2025-11-09 00:29:15,2025-12-09,1051044.77,1051044.77,A0040012170006885117,30,-29
Destino-217 DISTRIBUIDORA,A-688070,2025-11-07 20:16:42,2025-12-07,1037408.21,1037408.21,A0040012170006880703,30,-27
Destino-217 DISTRIBUIDORA,A-686661,2025-11-04 11:41:19,2025-12-04,979343.74,979343.74,A0040012170006866618,30,-24
Destino-217 DISTRIBUIDORA,A-687126,2025-11-05 14:59:46,2025-12-05,978901.56,978901.56,A0040012170006871263,30,-25
Destino-217 DISTRIBUIDORA,A-687637,2025-11-06 19:08:53,2025-12-06,909897.57,909897.57,A0040012170006876373,30,-26
Destino-217 DISTRIBUIDORA,A-685766,2025-11-01 12:27:07,2025-12-01,979716.23,979716.23,A0040012170006857666,30,-21
Destino-217 DISTRIBUIDORA,A-685309,2025-10-31 08:36:49,2025-11-30,956901.75,956901.75,A0040012170006853090,30,-20
Destino-217 DISTRIBUIDORA,A-684391,2025-10-28 20:00:01,2025-11-27,956378.63,942843.03,A0040012170006843911,30,-17
Destino-217 DISTRIBUIDORA,A-684745,2025-10-29 19:10:37,2025-11-28,909311.9,909311.9,A0040012170006847453,30,-18
Destino-217 DISTRIBUIDORA,A-682641,2025-10-23 21:17:06,2025-11-22,955776.28,955776.28,A0040012170006826414,30,-12
Destino-217 DISTRIBUIDORA,A-682215,2025-10-22 19:29:10,2025-11-21,955639.88,955639.88,A0040012170006822156,30,-11
Destino-217 DISTRIBUIDORA,A-680396,2025-10-17 13:15:15,2025-11-16,344984.52,344984.52,A0040012170006803966,30,-6
Destino-217 DISTRIBUIDORA,A-680403,2025-10-17 13:45:12,2025-11-16,689946.6,689946.6,A0040012170006804034,30,-6
Destino-217 DISTRIBUIDORA,A-680415,2025-10-17 14:08:06,2025-11-16,911390.63,911390.63,A0040012170006804157,30,-6
Destino-217 DISTRIBUIDORA,A-679919,2025-10-16 10:25:13,2025-11-15,346581.8,323392.85,A0040012170006799194,30,-5
Destino-217 DISTRIBUIDORA,A-679921,2025-10-16 10:35:11,2025-11-15,346536.82,346536.82,A0040012170006799210,30,-5
Destino-217 DISTRIBUIDORA,A-679927,2025-10-16 11:05:12,2025-11-15,693186.11,693186.11,A0040012170006799273,30,-5
Destino-217 DISTRIBUIDORA,A-680389,2025-10-17 13:05:14,2025-11-16,344939.56,344939.56,A0040012170006803891,30,-6
Destino-217 DISTRIBUIDORA,A-680952,2025-10-19 08:43:26,2025-11-18,956094.53,956094.53,A0040012170006809529,30,-8
Destino-217 DISTRIBUIDORA,A-680810,2025-10-18 13:35:12,2025-11-17,714455.26,714455.26,A0040012170006808106,30,-7
Destino-217 DISTRIBUIDORA,A-680820,2025-10-18 14:05:12,2025-11-17,714613.14,714613.14,A0040012170006808207,30,-7
Destino-217 DISTRIBUIDORA,A-681604,2025-10-21 10:58:38,2025-11-20,908162.33,908162.33,A0040012170006816040,30,-10
Destino-217 DISTRIBUIDORA,A-681295,2025-10-20 15:33:30,2025-11-19,955276.17,955276.17,A0040012170006812959,30,-9
Destino-217 DISTRIBUIDORA,A-678233,2025-10-11 09:45:12,2025-11-10,347684.12,347684.12,A0040012170006782339,30,0
Destino-217 DISTRIBUIDORA,A-678238,2025-10-11 10:05:14,2025-11-10,347526.66,347526.66,A0040012170006782387,30,0
Destino-217 DISTRIBUIDORA,A-678252,2025-10-11 10:35:11,2025-11-10,660452.84,660452.84,A0040012170006782526,30,0
