Destino,NumeroFactura,FechaFactura,Vencimiento,total,Saldo,ReferenciaBancaria,dias_credito,dias_vencido
Destino-2965 PL8041,A-687377,2025-11-06 04:43:28,2025-11-21,480180.67,480180.67,A1012859650006873773,15,-11
Destino-2965 PL8041,A-687379,2025-11-06 04:44:14,2025-11-21,5984.72,5984.72,A1012859650006873795,15,-11
Destino-2965 PL8041,A-687380,2025-11-06 04:45:06,2025-11-21,450937.5,450937.5,A1012859650006873805,15,-11
Destino-2965 PL8041,A-686464,2025-11-04 01:14:05,2025-11-19,450959.29,450959.29,A1012859650006864647,15,-9
Destino-2965 PL8041,A-687978,2025-11-07 14:43:02,2025-11-22,449019.14,449019.14,A1012859650006879789,15,-12
Destino-2965 PL8041,A-687939,2025-11-07 12:35:02,2025-11-22,427964.52,427964.52,A1012859650006879391,15,-12
Destino-2965 PL8041,A-685772,2025-11-01 12:43:41,2025-11-16,485510.88,485510.88,A1012859650006857721,15,-6
Destino-2965 PL8041,A-685778,2025-11-01 12:54:38,2025-11-16,472868.24,472868.24,A1012859650006857784,15,-6
Destino-2965 PL8041,A-686538,2025-11-04 04:39:12,2025-11-19,450872.07,450872.07,A1012859650006865383,15,-9
Destino-2965 PL8041,A-688552,2025-11-09 08:47:46,2025-11-24,450387.24,450387.24,A1012859650006885523,15,-14
