Destino,NumeroFactura,FechaFactura,Vencimiento,total,Saldo,ReferenciaBancaria,dias_credito,dias_vencido
Destino-427 E12382,A-688901,2025-11-10 13:24:00,2025-11-28,218860.5,218860.5,A1012554270006889018,18,-18
Destino-427 E12382,A-688902,2025-11-10 13:34:00,2025-11-28,218882.39,218882.39,A1012554270006889024,18,-18
Destino-427 E12382,A-683521,2025-10-26 11:25:11,2025-11-13,219145.07,219145.07,A1012554270006835216,18,-3
Destino-427 E12382,A-683524,2025-10-26 11:25:13,2025-11-13,238752.19,238752.19,A1012554270006835243,18,-3
Destino-427 E12382,A-682498,2025-10-23 13:25:12,2025-11-10,218116.22,218116.22,A1012554270006824981,18,0
Destino-427 E12382,A-682499,2025-10-23 13:25:13,2025-11-10,218203.8,218203.8,A1012554270006824997,18,0
Destino-427 E12382,A-683998,2025-10-27 22:25:16,2025-11-14,217525.19,113157.21,A1012554270006839980,18,-4
Destino-427 E12382,A-684003,2025-10-27 22:35:12,2025-11-14,217196.82,217196.82,A1012554270006840036,18,-4
Destino-427 E12382,A-684748,2025-10-29 19:25:11,2025-11-16,217174.92,217174.92,A1012554270006847486,18,-6
Destino-427 E12382,A-684751,2025-10-29 19:35:11,2025-11-16,217153.05,217153.05,A1012554270006847518,18,-6
Destino-427 E12382,A-684774,2025-10-29 21:25:12,2025-11-16,218247.57,218247.57,A1012554270006847747,18,-6
Destino-427 E12382,A-684776,2025-10-29 21:35:11,2025-11-16,217984.87,217984.87,A1012554270006847768,18,-6
Destino-427 E12382,A-685393,2025-10-31 13:55:12,2025-11-18,218597.8,218597.8,A1012554270006853933,18,-8
Destino-427 E12382,A-685386,2025-10-31 13:45:11,2025-11-18,229441.55,229441.55,A1012554270006853868,18,-8
Destino-427 E12382,A-687839,2025-11-07 08:34:00,2025-11-25,220721.17,220721.17,A1012554270006878394,18,-15
Destino-427 E12382,A-687877,2025-11-07 10:24:04,2025-11-25,221859.48,221859.48,A1012554270006878776,18,-15
Destino-427 E12382,A-687104,2025-11-05 14:35:25,2025-11-23,218860.5,218860.5,A1012554270006871045,18,-13
Destino-427 E12382,A-687087,2025-11-05 14:35:10,2025-11-23,218816.72,218816.72,A1012554270006870873,18,-13
Destino-427 E12382,A-686634,2025-11-04 10:44:02,2025-11-22,219342.08,219342.08,A1012554270006866348,18,-12
Destino-427 E12382,A-686642,2025-11-04 10:54:02,2025-11-22,219298.32,219298.32,A1012554270006866428,18,-12
Destino-427 E12382,A-685971,2025-11-02 09:44:00,2025-11-20,220217.71,220217.71,A1012554270006859719,18,-10
Destino-427 E12382,A-685975,2025-11-02 09:44:03,2025-11-20,232643.02,232643.02,A1012554270006859751,18,-10
